"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","dateTime"
"66637","0.326","0.128","243.150","1.400","0.000","0.000",0,2007-02-01 00:00:00
"66638","0.326","0.130","243.320","1.400","0.000","0.000",0,2007-02-01 00:01:00
"66639","0.324","0.132","243.510","1.400","0.000","0.000",0,2007-02-01 00:02:00
"66640","0.324","0.134","243.900","1.400","0.000","0.000",0,2007-02-01 00:03:00
"66641","0.322","0.130","243.160","1.400","0.000","0.000",0,2007-02-01 00:04:00
"66642","0.320","0.126","242.290","1.400","0.000","0.000",0,2007-02-01 00:05:00
"66643","0.320","0.126","242.460","1.400","0.000","0.000",0,2007-02-01 00:06:00
"66644","0.320","0.126","242.630","1.400","0.000","0.000",0,2007-02-01 00:07:00
"66645","0.320","0.128","242.700","1.400","0.000","0.000",0,2007-02-01 00:08:00
"66646","0.236","0.000","242.890","1.000","0.000","0.000",0,2007-02-01 00:09:00
"66647","0.226","0.000","243.000","1.000","0.000","0.000",0,2007-02-01 00:10:00
"66648","0.224","0.000","242.500","1.000","0.000","0.000",0,2007-02-01 00:11:00
"66649","0.224","0.000","242.180","1.000","0.000","0.000",0,2007-02-01 00:12:00
"66650","0.224","0.000","242.150","1.000","0.000","0.000",0,2007-02-01 00:13:00
"66651","0.224","0.000","242.730","1.000","0.000","0.000",0,2007-02-01 00:14:00
"66652","0.260","0.000","242.850","1.200","0.000","0.000",0,2007-02-01 00:15:00
"66653","0.304","0.096","242.890","1.200","0.000","0.000",0,2007-02-01 00:16:00
"66654","0.302","0.096","242.870","1.200","0.000","0.000",0,2007-02-01 00:17:00
"66655","0.302","0.094","242.190","1.200","0.000","0.000",0,2007-02-01 00:18:00
"66656","0.300","0.094","242.230","1.200","0.000","0.000",0,2007-02-01 00:19:00
"66657","0.300","0.094","242.160","1.200","0.000","0.000",0,2007-02-01 00:20:00
"66658","0.298","0.094","242.290","1.200","0.000","0.000",0,2007-02-01 00:21:00
"66659","0.298","0.094","242.470","1.200","0.000","0.000",0,2007-02-01 00:22:00
"66660","0.296","0.094","242.320","1.200","0.000","0.000",0,2007-02-01 00:23:00
"66661","0.296","0.096","242.980","1.200","0.000","0.000",0,2007-02-01 00:24:00
"66662","0.298","0.100","243.650","1.200","0.000","0.000",0,2007-02-01 00:25:00
"66663","0.228","0.000","243.550","1.000","0.000","0.000",0,2007-02-01 00:26:00
"66664","0.226","0.000","243.110","1.000","0.000","0.000",0,2007-02-01 00:27:00
"66665","0.226","0.000","243.090","1.000","0.000","0.000",0,2007-02-01 00:28:00
"66666","0.226","0.000","243.050","1.000","0.000","0.000",0,2007-02-01 00:29:00
"66667","0.226","0.000","243.220","1.000","0.000","0.000",0,2007-02-01 00:30:00
"66668","0.226","0.000","243.370","1.000","0.000","0.000",0,2007-02-01 00:31:00
"66669","0.226","0.000","243.140","1.000","0.000","0.000",0,2007-02-01 00:32:00
"66670","0.226","0.000","243.120","1.000","0.000","0.000",0,2007-02-01 00:33:00
"66671","0.322","0.094","242.740","1.400","0.000","0.000",0,2007-02-01 00:34:00
"66672","0.336","0.126","242.590","1.400","0.000","0.000",0,2007-02-01 00:35:00
"66673","0.332","0.126","242.910","1.400","0.000","0.000",0,2007-02-01 00:36:00
"66674","0.332","0.130","243.510","1.400","0.000","0.000",0,2007-02-01 00:37:00
"66675","0.330","0.130","243.650","1.400","0.000","0.000",0,2007-02-01 00:38:00
"66676","0.328","0.128","243.370","1.400","0.000","0.000",0,2007-02-01 00:39:00
"66677","0.328","0.130","243.790","1.400","0.000","0.000",0,2007-02-01 00:40:00
"66678","0.326","0.128","243.230","1.400","0.000","0.000",0,2007-02-01 00:41:00
"66679","0.324","0.126","242.980","1.400","0.000","0.000",0,2007-02-01 00:42:00
"66680","0.322","0.126","242.950","1.400","0.000","0.000",0,2007-02-01 00:43:00
